Time,UID,PID,%usr,%system,%guest,%wait,%CPU,CPU,Command
1675601064,0,241792,3.00,0.00,0.00,0.00,3.00,6,nginx
1675601064,0,241793,4.00,0.00,0.00,0.00,4.00,1,nginx
1675601064,0,241794,3.00,1.00,0.00,0.00,4.00,2,nginx
1675601064,0,241795,3.00,1.00,0.00,0.00,4.00,3,nginx
1675601064,0,241796,4.00,0.00,0.00,0.00,4.00,0,nginx
1675601064,0,241797,4.00,0.00,0.00,0.00,4.00,5,nginx
1675601064,0,241798,4.00,0.00,0.00,0.00,4.00,4,nginx
1675601064,0,241799,4.00,0.00,0.00,0.00,4.00,7,nginx
1675601065,0,241792,9.00,0.00,0.00,0.00,9.00,4,nginx
1675601065,0,241793,7.00,3.00,0.00,0.00,10.00,5,nginx
1675601065,0,241794,7.00,0.00,0.00,0.00,7.00,2,nginx
1675601065,0,241795,8.00,1.00,0.00,0.00,9.00,3,nginx
1675601065,0,241796,8.00,0.00,0.00,0.00,8.00,0,nginx
1675601065,0,241797,6.00,2.00,0.00,0.00,8.00,1,nginx
1675601065,0,241798,7.00,0.00,0.00,0.00,7.00,6,nginx
1675601065,0,241799,8.00,1.00,0.00,0.00,9.00,7,nginx
1675601066,0,241792,3.00,1.00,0.00,0.00,4.00,4,nginx
1675601066,0,241793,4.00,0.00,0.00,0.00,4.00,5,nginx
1675601066,0,241794,3.00,0.00,0.00,0.00,3.00,2,nginx
1675601066,0,241795,4.00,0.00,0.00,0.00,4.00,3,nginx
1675601066,0,241796,4.00,0.00,0.00,0.00,4.00,0,nginx
1675601066,0,241797,3.00,0.00,0.00,0.00,3.00,1,nginx
1675601066,0,241798,5.00,0.00,0.00,0.00,5.00,6,nginx
1675601066,0,241799,4.00,0.00,0.00,0.00,4.00,7,nginx
1675601067,0,241792,6.00,0.00,0.00,0.00,6.00,4,nginx
1675601067,0,241793,4.00,0.00,0.00,0.00,4.00,5,nginx
1675601067,0,241794,5.00,0.00,0.00,0.00,5.00,3,nginx
1675601067,0,241795,5.00,1.00,0.00,0.00,6.00,3,nginx
1675601067,0,241796,6.00,0.00,0.00,0.00,6.00,6,nginx
1675601067,0,241797,5.00,0.00,0.00,0.00,5.00,1,nginx
1675601067,0,241798,5.00,1.00,0.00,0.00,6.00,6,nginx
1675601067,0,241799,6.00,1.00,0.00,0.00,7.00,7,nginx
1675601068,0,241792,6.00,0.00,0.00,0.00,6.00,4,nginx
1675601068,0,241793,6.00,1.00,0.00,0.00,7.00,5,nginx
1675601068,0,241794,5.00,1.00,0.00,0.00,6.00,3,nginx
1675601068,0,241795,1.00,1.00,0.00,0.00,2.00,3,nginx
1675601068,0,241796,1.00,0.00,0.00,0.00,1.00,6,nginx
1675601068,0,241797,2.00,1.00,0.00,0.00,3.00,1,nginx
1675601068,0,241799,5.00,0.00,0.00,0.00,5.00,7,nginx
1675601069,0,241792,1.00,0.00,0.00,0.00,1.00,4,nginx
1675601069,0,241793,1.00,0.00,0.00,0.00,1.00,5,nginx
1675601069,0,241794,5.00,0.00,0.00,0.00,5.00,3,nginx
1675601069,0,241795,4.00,0.00,0.00,0.00,4.00,3,nginx
1675601069,0,241796,5.00,1.00,0.00,0.00,6.00,6,nginx
1675601069,0,241797,6.00,1.00,0.00,0.00,7.00,1,nginx
1675601069,0,241798,6.00,0.00,0.00,0.00,6.00,2,nginx
1675601069,0,241799,2.00,0.00,0.00,0.00,2.00,7,nginx
1675601070,0,241792,4.00,1.00,0.00,0.00,5.00,4,nginx
1675601070,0,241793,3.00,1.00,0.00,0.00,4.00,5,nginx
1675601070,0,241795,7.00,0.00,0.00,0.00,7.00,3,nginx
1675601070,0,241796,4.00,0.00,0.00,0.00,4.00,6,nginx
1675601070,0,241798,7.00,0.00,0.00,0.00,7.00,2,nginx
1675601070,0,241799,3.00,1.00,0.00,0.00,4.00,7,nginx
1675601071,0,241792,6.00,1.00,0.00,0.00,7.00,4,nginx
1675601071,0,241793,6.00,0.00,0.00,0.00,6.00,5,nginx
1675601071,0,241794,6.00,0.00,0.00,0.00,6.00,3,nginx
1675601071,0,241795,3.00,0.00,0.00,0.00,3.00,3,nginx
1675601071,0,241796,2.00,0.00,0.00,0.00,2.00,7,nginx
1675601071,0,241797,6.00,1.00,0.00,0.00,7.00,6,nginx
1675601071,0,241799,6.00,0.00,0.00,0.00,6.00,7,nginx
1675601072,0,241793,4.00,1.00,0.00,0.00,5.00,6,nginx
1675601072,0,241794,5.00,1.00,0.00,0.00,6.00,3,nginx
1675601072,0,241795,2.00,1.00,0.00,0.00,3.00,3,nginx
1675601072,0,241796,5.00,2.00,0.00,0.00,7.00,7,nginx
1675601072,0,241797,5.00,0.00,0.00,0.00,5.00,5,nginx
1675601072,0,241798,5.00,1.00,0.00,0.00,6.00,1,nginx
1675601072,0,241799,1.00,0.00,0.00,0.00,1.00,7,nginx
1675601073,0,241792,6.00,0.00,0.00,0.00,6.00,4,nginx
1675601073,0,241793,1.00,0.00,0.00,0.00,1.00,6,nginx
1675601073,0,241794,0.00,1.00,0.00,0.00,1.00,0,nginx
1675601073,0,241795,6.00,0.00,0.00,0.00,6.00,3,nginx
1675601073,0,241796,5.00,0.00,0.00,0.00,5.00,7,nginx
1675601073,0,241797,3.00,0.00,0.00,0.00,3.00,5,nginx
1675601073,0,241798,4.00,2.00,0.00,0.00,6.00,1,nginx
1675601073,0,241799,4.00,1.00,0.00,0.00,5.00,7,nginx
1675601074,0,241792,5.00,0.00,0.00,0.00,5.00,4,nginx
1675601074,0,241793,6.00,0.00,0.00,0.00,6.00,6,nginx
1675601074,0,241794,4.00,1.00,0.00,0.00,5.00,0,nginx
1675601074,0,241795,3.00,0.00,0.00,0.00,3.00,3,nginx
1675601074,0,241796,1.00,0.00,0.00,0.00,1.00,6,nginx
1675601074,0,241797,3.00,0.00,0.00,0.00,3.00,5,nginx
1675601074,0,241798,1.00,0.00,0.00,0.00,1.00,1,nginx
1675601074,0,241799,6.00,0.00,0.00,0.00,6.00,7,nginx
1675601075,0,241793,5.00,0.00,0.00,0.00,5.00,1,nginx
1675601075,0,241794,6.00,0.00,0.00,0.00,6.00,5,nginx
1675601075,0,241795,2.00,1.00,0.00,0.00,3.00,3,nginx
1675601075,0,241796,5.00,0.00,0.00,0.00,5.00,6,nginx
1675601075,0,241797,5.00,1.00,0.00,0.00,6.00,0,nginx
1675601075,0,241798,4.00,1.00,0.00,0.00,5.00,1,nginx
1675601075,0,241799,1.00,0.00,0.00,0.00,1.00,7,nginx
1675601076,0,241792,5.00,1.00,0.00,0.00,6.00,6,nginx
1675601076,0,241793,0.00,1.00,0.00,0.00,1.00,1,nginx
1675601076,0,241794,1.00,0.00,0.00,0.00,1.00,5,nginx
1675601076,0,241795,6.00,0.00,0.00,0.00,6.00,3,nginx
1675601076,0,241796,5.00,1.00,0.00,0.00,6.00,6,nginx
1675601076,0,241797,3.00,1.00,0.00,0.00,4.00,0,nginx
1675601076,0,241798,6.00,0.00,0.00,0.00,6.00,1,nginx
1675601076,0,241799,5.00,1.00,0.00,0.00,6.00,7,nginx
1675601077,0,241792,6.00,1.00,0.00,0.00,7.00,6,nginx
1675601077,0,241793,5.00,1.00,0.00,0.00,6.00,0,nginx
1675601077,0,241794,4.00,1.00,0.00,0.00,5.00,4,nginx
1675601077,0,241795,4.00,1.00,0.00,0.00,5.00,2,nginx
1675601077,0,241796,0.00,1.00,0.00,0.00,1.00,6,nginx
1675601077,0,241797,3.00,0.00,0.00,0.00,3.00,0,nginx
1675601077,0,241798,1.00,1.00,0.00,0.00,2.00,0,nginx
1675601077,0,241799,7.00,0.00,0.00,0.00,7.00,7,nginx
1675601078,0,241792,1.00,0.00,0.00,0.00,1.00,5,nginx
1675601078,0,241793,5.00,1.00,0.00,0.00,6.00,0,nginx
1675601078,0,241794,6.00,0.00,0.00,0.00,6.00,4,nginx
1675601078,0,241796,5.00,0.00,0.00,0.00,5.00,6,nginx
1675601078,0,241797,5.00,0.00,0.00,0.00,5.00,3,nginx
1675601078,0,241798,4.00,0.00,0.00,0.00,4.00,1,nginx
1675601078,0,241799,4.00,0.00,0.00,0.00,4.00,7,nginx
1675601079,0,241792,4.00,0.00,0.00,0.00,4.00,5,nginx
1675601079,0,241793,1.00,0.00,0.00,0.00,1.00,0,nginx
