Time,UID,PID,%usr,%system,%guest,%wait,%CPU,CPU,Command
1675658013,0,365291,4.00,0.00,0.00,0.00,4.00,1,nginx
1675658013,0,365292,3.00,1.00,0.00,0.00,4.00,5,nginx
1675658013,0,365293,3.00,1.00,0.00,1.00,4.00,4,nginx
1675658013,0,365294,3.00,0.00,0.00,0.00,3.00,7,nginx
1675658013,0,365295,3.00,0.00,0.00,0.00,3.00,6,nginx
1675658013,0,365296,2.00,0.00,0.00,2.00,2.00,3,nginx
1675658013,0,365297,4.00,0.00,0.00,0.00,4.00,0,nginx
1675658013,0,365298,3.00,1.00,0.00,0.00,4.00,7,nginx
1675658014,0,365291,3.00,0.00,0.00,0.00,3.00,6,nginx
1675658014,0,365292,4.00,1.00,0.00,0.00,5.00,5,nginx
1675658014,0,365293,3.00,0.00,0.00,0.00,3.00,7,nginx
1675658014,0,365294,3.00,1.00,0.00,0.00,4.00,7,nginx
1675658014,0,365295,3.00,1.00,0.00,0.00,4.00,1,nginx
1675658014,0,365296,4.00,0.00,0.00,0.00,4.00,5,nginx
1675658014,0,365297,4.00,0.00,0.00,0.00,4.00,0,nginx
1675658014,0,365298,1.00,0.00,0.00,1.00,1.00,2,nginx
1675658015,0,365291,5.00,1.00,0.00,0.00,6.00,6,nginx
1675658015,0,365292,4.00,0.00,0.00,0.00,4.00,3,nginx
1675658015,0,365293,2.00,0.00,0.00,0.00,2.00,4,nginx
1675658015,0,365294,3.00,1.00,0.00,0.00,4.00,6,nginx
1675658015,0,365295,7.00,1.00,0.00,0.00,8.00,1,nginx
1675658015,0,365296,1.00,1.00,0.00,0.00,2.00,7,nginx
1675658015,0,365297,7.00,0.00,0.00,0.00,7.00,5,nginx
1675658015,0,365298,5.00,1.00,0.00,0.00,6.00,2,nginx
1675658016,0,365291,5.00,0.00,0.00,0.00,5.00,6,nginx
1675658016,0,365292,2.00,0.00,0.00,0.00,2.00,3,nginx
1675658016,0,365293,5.00,1.00,0.00,0.00,6.00,4,nginx
1675658016,0,365294,4.00,0.00,0.00,0.00,4.00,6,nginx
1675658016,0,365295,5.00,0.00,0.00,0.00,5.00,0,nginx
1675658016,0,365296,7.00,0.00,0.00,0.00,7.00,7,nginx
1675658016,0,365297,2.00,0.00,0.00,0.00,2.00,5,nginx
1675658016,0,365298,6.00,0.00,0.00,0.00,6.00,2,nginx
1675658017,0,365292,6.00,0.00,0.00,0.00,6.00,5,nginx
1675658017,0,365293,4.00,0.00,0.00,0.00,4.00,4,nginx
1675658017,0,365294,6.00,0.00,0.00,0.00,6.00,1,nginx
1675658017,0,365296,6.00,0.00,0.00,0.00,6.00,7,nginx
1675658017,0,365297,4.00,0.00,0.00,0.00,4.00,5,nginx
1675658017,0,365298,2.00,0.00,0.00,0.00,2.00,2,nginx
1675658018,0,365291,6.00,1.00,0.00,0.00,7.00,7,nginx
1675658018,0,365292,6.00,0.00,0.00,0.00,6.00,5,nginx
1675658018,0,365293,3.00,0.00,0.00,0.00,3.00,4,nginx
1675658018,0,365294,1.00,1.00,0.00,0.00,2.00,1,nginx
1675658018,0,365295,6.00,1.00,0.00,0.00,7.00,0,nginx
1675658018,0,365296,2.00,0.00,0.00,0.00,2.00,7,nginx
1675658018,0,365297,6.00,1.00,0.00,1.00,7.00,3,nginx
1675658018,0,365298,5.00,0.00,0.00,0.00,5.00,6,nginx
1675658019,0,365291,6.00,1.00,0.00,0.00,7.00,7,nginx
1675658019,0,365292,1.00,1.00,0.00,0.00,2.00,5,nginx
1675658019,0,365293,5.00,1.00,0.00,0.00,6.00,4,nginx
1675658019,0,365294,5.00,0.00,0.00,0.00,5.00,1,nginx
1675658019,0,365295,4.00,0.00,0.00,0.00,4.00,0,nginx
1675658019,0,365296,4.00,0.00,0.00,0.00,4.00,7,nginx
1675658019,0,365298,7.00,0.00,0.00,0.00,7.00,6,nginx
1675658020,0,365292,5.00,0.00,0.00,0.00,5.00,5,nginx
1675658020,0,365293,3.00,0.00,0.00,0.00,3.00,4,nginx
1675658020,0,365294,5.00,1.00,0.00,0.00,6.00,0,nginx
1675658020,0,365295,2.00,1.00,0.00,0.00,3.00,0,nginx
1675658020,0,365296,6.00,1.00,0.00,0.00,7.00,7,nginx
1675658020,0,365297,6.00,1.00,0.00,0.00,7.00,3,nginx
1675658020,0,365298,2.00,0.00,0.00,0.00,2.00,6,nginx
1675658021,0,365291,5.00,1.00,0.00,0.00,6.00,7,nginx
1675658021,0,365292,6.00,0.00,0.00,0.00,6.00,5,nginx
1675658021,0,365293,3.00,0.00,0.00,0.00,3.00,4,nginx
1675658021,0,365294,1.00,0.00,0.00,0.00,1.00,0,nginx
1675658021,0,365295,5.00,0.00,0.00,0.00,5.00,0,nginx
1675658021,0,365296,1.00,0.00,0.00,0.00,1.00,7,nginx
1675658021,0,365297,5.00,0.00,0.00,0.00,5.00,3,nginx
1675658021,0,365298,4.00,0.00,0.00,0.00,4.00,6,nginx
1675658022,0,365291,5.00,1.00,0.00,0.00,6.00,7,nginx
1675658022,0,365293,5.00,1.00,0.00,0.00,6.00,4,nginx
1675658022,0,365294,5.00,0.00,0.00,0.00,5.00,0,nginx
1675658022,0,365295,5.00,1.00,0.00,0.00,6.00,1,nginx
1675658022,0,365296,4.00,1.00,0.00,0.00,5.00,7,nginx
1675658022,0,365297,1.00,0.00,0.00,0.00,1.00,3,nginx
1675658022,0,365298,6.00,1.00,0.00,0.00,7.00,6,nginx
1675658023,0,365292,5.00,2.00,0.00,0.00,7.00,5,nginx
1675658023,0,365293,4.00,0.00,0.00,0.00,4.00,6,nginx
1675658023,0,365294,6.00,0.00,0.00,0.00,6.00,0,nginx
1675658023,0,365296,3.00,0.00,0.00,0.00,3.00,7,nginx
1675658023,0,365297,5.00,0.00,0.00,0.00,5.00,3,nginx
1675658023,0,365298,2.00,0.00,0.00,0.00,2.00,1,nginx
1675658024,0,365291,6.00,0.00,0.00,0.00,6.00,5,nginx
1675658024,0,365292,6.00,0.00,0.00,0.00,6.00,5,nginx
1675658024,0,365293,2.00,0.00,0.00,0.00,2.00,6,nginx
1675658024,0,365294,4.00,0.00,0.00,0.00,4.00,0,nginx
1675658024,0,365295,7.00,0.00,0.00,0.00,7.00,1,nginx
1675658024,0,365296,1.00,1.00,0.00,0.00,2.00,5,nginx
1675658024,0,365297,6.00,1.00,0.00,0.00,7.00,3,nginx
1675658024,0,365298,3.00,1.00,0.00,0.00,4.00,6,nginx
1675658025,0,365291,5.00,2.00,0.00,0.00,7.00,5,nginx
1675658025,0,365292,1.00,0.00,0.00,0.00,1.00,5,nginx
1675658025,0,365293,4.00,1.00,0.00,0.00,5.00,6,nginx
1675658025,0,365294,3.00,0.00,0.00,0.00,3.00,0,nginx
1675658025,0,365295,4.00,1.00,0.00,0.00,5.00,0,nginx
1675658025,0,365296,4.00,0.00,0.00,0.00,4.00,7,nginx
