Time,UID,PID,%usr,%system,%guest,%wait,%CPU,CPU,Command
1675340393,0,241792,5.00,2.00,0.00,0.00,7.00,0,nginx
1675340393,0,241793,5.00,1.00,0.00,0.00,6.00,7,nginx
1675340393,0,241794,5.00,1.00,0.00,0.00,6.00,1,nginx
1675340393,0,241795,6.00,0.00,0.00,0.00,6.00,5,nginx
1675340393,0,241796,4.00,3.00,0.00,0.00,7.00,6,nginx
1675340393,0,241797,5.00,3.00,0.00,0.00,8.00,3,nginx
1675340393,0,241798,6.00,2.00,0.00,0.00,8.00,6,nginx
1675340393,0,241799,6.00,2.00,0.00,0.00,8.00,2,nginx
1675340394,0,241792,2.00,1.00,0.00,0.00,3.00,0,nginx
1675340394,0,241793,2.00,1.00,0.00,0.00,3.00,7,nginx
1675340394,0,241794,1.00,1.00,0.00,0.00,2.00,2,nginx
1675340394,0,241795,2.00,1.00,0.00,0.00,3.00,5,nginx
1675340394,0,241796,1.00,2.00,0.00,0.00,3.00,6,nginx
1675340394,0,241797,1.00,1.00,0.00,0.00,2.00,3,nginx
1675340394,0,241798,1.00,1.00,0.00,0.00,2.00,1,nginx
1675340394,0,241799,2.00,0.00,0.00,0.00,2.00,6,nginx
1675340395,0,241792,1.00,0.00,0.00,0.00,1.00,0,nginx
1675340395,0,241793,1.00,1.00,0.00,0.00,2.00,7,nginx
1675340395,0,241794,6.00,2.00,0.00,0.00,8.00,2,nginx
1675340395,0,241796,1.00,0.00,0.00,0.00,1.00,6,nginx
1675340395,0,241799,0.00,1.00,0.00,0.00,1.00,6,nginx
1675340396,0,241792,2.00,2.00,0.00,0.00,4.00,6,nginx
1675340396,0,241793,6.00,3.00,0.00,0.00,9.00,7,nginx
1675340396,0,241794,1.00,1.00,0.00,0.00,2.00,2,nginx
1675340396,0,241799,1.00,1.00,0.00,0.00,2.00,5,nginx
1675340397,0,241792,3.00,1.00,0.00,0.00,4.00,6,nginx
1675340397,0,241795,1.00,0.00,0.00,0.00,1.00,5,nginx
1675340397,0,241798,3.00,1.00,0.00,0.00,4.00,1,nginx
1675340397,0,241799,4.00,3.00,0.00,0.00,7.00,5,nginx
1675340398,0,241795,3.00,1.00,0.00,0.00,4.00,5,nginx
1675340398,0,241798,5.00,1.00,0.00,0.00,6.00,1,nginx
1675340399,0,241795,3.00,1.00,0.00,0.00,4.00,5,nginx
1675340399,0,241796,3.00,1.00,0.00,0.00,4.00,6,nginx
1675340399,0,241797,5.00,4.00,0.00,0.00,9.00,3,nginx
1675340400,0,241794,1.00,1.00,0.00,0.00,2.00,2,nginx
1675340400,0,241796,8.00,0.00,0.00,0.00,8.00,6,nginx
1675340400,0,241798,0.00,1.00,0.00,0.00,1.00,1,nginx
1675340401,0,241794,2.00,2.00,0.00,0.00,4.00,2,nginx
1675340401,0,241796,3.00,1.00,0.00,0.00,4.00,6,nginx
1675340402,0,241792,1.00,0.00,0.00,0.00,1.00,6,nginx
1675340402,0,241793,2.00,0.00,0.00,0.00,2.00,7,nginx
1675340402,0,241794,6.00,2.00,0.00,0.00,8.00,2,nginx
1675340403,0,241792,1.00,0.00,0.00,0.00,1.00,6,nginx
1675340403,0,241793,8.00,2.00,0.00,0.00,10.00,7,nginx
1675340403,0,241795,1.00,0.00,0.00,0.00,1.00,5,nginx
1675340403,0,241796,1.00,0.00,0.00,0.00,1.00,1,nginx
1675340403,0,241797,1.00,0.00,0.00,0.00,1.00,3,nginx
1675340404,0,241792,5.00,2.00,0.00,0.00,7.00,4,nginx
1675340404,0,241793,4.00,1.00,0.00,0.00,5.00,7,nginx
1675340404,0,241795,4.00,3.00,0.00,0.00,7.00,3,nginx
1675340404,0,241797,2.00,3.00,0.00,0.00,5.00,4,nginx
1675340404,0,241798,5.00,3.00,0.00,0.00,8.00,1,nginx
1675340404,0,241799,4.00,2.00,0.00,0.00,6.00,5,nginx
1675340405,0,241792,5.00,4.00,0.00,0.00,9.00,4,nginx
1675340405,0,241793,0.00,1.00,0.00,0.00,1.00,7,nginx
1675340405,0,241798,1.00,0.00,0.00,0.00,1.00,1,nginx
1675340405,0,241799,4.00,1.00,0.00,0.00,5.00,5,nginx
1675340406,0,241792,0.00,1.00,0.00,0.00,1.00,4,nginx
1675340406,0,241798,4.00,1.00,0.00,0.00,5.00,1,nginx
1675340406,0,241799,4.00,3.00,0.00,0.00,7.00,5,nginx
1675340407,0,241795,5.00,6.00,0.00,0.00,11.00,6,nginx
1675340407,0,241797,5.00,2.00,0.00,0.00,7.00,4,nginx
1675340407,0,241798,1.00,1.00,0.00,0.00,2.00,1,nginx
1675340408,0,241796,7.00,1.00,0.00,0.00,8.00,3,nginx
1675340408,0,241797,2.00,1.00,0.00,0.00,3.00,4,nginx
1675340408,0,241798,1.00,0.00,0.00,0.00,1.00,3,nginx
1675340409,0,241793,1.00,0.00,0.00,0.00,1.00,7,nginx
1675340409,0,241794,5.00,2.00,0.00,0.00,7.00,1,nginx
1675340409,0,241796,4.00,4.00,0.00,0.00,8.00,6,nginx
1675340410,0,241792,1.00,0.00,0.00,0.00,1.00,4,nginx
1675340410,0,241793,8.00,1.00,0.00,0.00,9.00,7,nginx
1675340410,0,241794,6.00,3.00,0.00,0.00,9.00,1,nginx
1675340411,0,241792,3.00,4.00,0.00,0.00,7.00,4,nginx
1675340411,0,241793,6.00,1.00,0.00,0.00,7.00,7,nginx
1675340412,0,241792,7.00,2.00,0.00,0.00,9.00,4,nginx
1675340412,0,241798,1.00,1.00,0.00,0.00,2.00,2,nginx
1675340412,0,241799,7.00,1.00,0.00,0.00,8.00,5,nginx
1675340413,0,241795,1.00,0.00,0.00,0.00,1.00,3,nginx
1675340413,0,241798,3.00,2.00,0.00,0.00,5.00,2,nginx
1675340413,0,241799,5.00,4.00,0.00,0.00,9.00,2,nginx
1675340414,0,241793,0.00,1.00,0.00,0.00,1.00,7,nginx
1675340414,0,241794,1.00,1.00,0.00,0.00,2.00,1,nginx
1675340414,0,241795,6.00,1.00,0.00,0.00,7.00,3,nginx
1675340414,0,241796,2.00,1.00,0.00,0.00,3.00,6,nginx
1675340414,0,241797,2.00,1.00,0.00,0.00,3.00,4,nginx
1675340414,0,241798,7.00,3.00,0.00,0.00,10.00,2,nginx
1675340415,0,241795,5.00,1.00,0.00,1.00,6.00,3,nginx
1675340415,0,241798,1.00,0.00,0.00,0.00,1.00,2,nginx
1675340416,0,241795,1.00,2.00,0.00,0.00,3.00,3,nginx
1675340416,0,241796,4.00,0.00,0.00,0.00,4.00,6,nginx
1675340416,0,241797,7.00,6.00,0.00,0.00,13.00,5,nginx
1675340417,0,241794,1.00,1.00,0.00,0.00,2.00,1,nginx
1675340417,0,241796,6.00,4.00,0.00,0.00,10.00,7,nginx
1675340418,0,241792,1.00,1.00,0.00,0.00,2.00,6,nginx
1675340418,0,241793,3.00,0.00,0.00,0.00,3.00,5,nginx
1675340418,0,241794,9.00,4.00,0.00,0.00,13.00,1,nginx
1675340418,0,241798,1.00,0.00,0.00,0.00,1.00,2,nginx
1675340418,0,241799,0.00,1.00,0.00,0.00,1.00,0,nginx
1675340419,0,241793,7.00,4.00,0.00,0.00,11.00,5,nginx
1675340419,0,241796,1.00,0.00,0.00,0.00,1.00,7,nginx
1675340419,0,241798,1.00,0.00,0.00,0.00,1.00,2,nginx
1675340420,0,241792,10.00,4.00,0.00,0.00,14.00,4,nginx
1675340420,0,241793,1.00,1.00,0.00,0.00,2.00,5,nginx
