Time,UID,PID,%usr,%system,%guest,%wait,%CPU,CPU,Command
1675842738,0,401304,7.00,2.00,0.00,0.00,9.00,4,nginx
1675842738,0,401305,7.00,2.00,0.00,0.00,9.00,7,nginx
1675842738,0,401306,7.00,3.00,0.00,0.00,10.00,1,nginx
1675842738,0,401307,5.00,2.00,0.00,0.00,7.00,5,nginx
1675842738,0,401308,5.00,1.00,0.00,1.00,6.00,0,nginx
1675842738,0,401309,5.00,2.00,0.00,0.00,7.00,1,nginx
1675842738,0,401310,6.00,1.00,0.00,0.00,7.00,2,nginx
1675842738,0,401311,4.00,4.00,0.00,0.00,8.00,3,nginx
1675842739,0,401304,1.00,1.00,0.00,0.00,2.00,4,nginx
1675842739,0,401305,0.00,1.00,0.00,0.00,1.00,7,nginx
1675842739,0,401306,1.00,0.00,0.00,0.00,1.00,1,nginx
1675842739,0,401307,0.00,2.00,0.00,0.00,2.00,4,nginx
1675842739,0,401308,1.00,0.00,0.00,0.00,1.00,0,nginx
1675842739,0,401309,1.00,1.00,0.00,0.00,2.00,1,nginx
1675842739,0,401310,1.00,0.00,0.00,0.00,1.00,2,nginx
1675842739,0,401311,1.00,0.00,0.00,0.00,1.00,3,nginx
1675842740,0,401305,6.00,3.00,0.00,0.00,9.00,7,nginx
1675842740,0,401306,3.00,0.00,0.00,0.00,3.00,5,nginx
1675842740,0,401309,9.00,0.00,0.00,0.00,9.00,1,nginx
1675842741,0,401306,2.00,2.00,0.00,0.00,4.00,4,nginx
1675842741,0,401309,0.00,1.00,0.00,0.00,1.00,1,nginx
1675842742,0,401304,7.00,1.00,0.00,0.00,8.00,6,nginx
1675842742,0,401306,1.00,1.00,0.00,0.00,2.00,4,nginx
1675842742,0,401307,8.00,1.00,0.00,0.00,9.00,4,nginx
1675842742,0,401311,1.00,1.00,0.00,0.00,2.00,3,nginx
1675842743,0,401304,1.00,0.00,0.00,0.00,1.00,6,nginx
1675842743,0,401307,1.00,1.00,0.00,0.00,2.00,4,nginx
1675842743,0,401310,1.00,1.00,0.00,0.00,2.00,2,nginx
1675842743,0,401311,4.00,0.00,0.00,0.00,4.00,3,nginx
1675842744,0,401308,4.00,1.00,0.00,0.00,5.00,0,nginx
1675842744,0,401310,6.00,3.00,0.00,0.00,9.00,2,nginx
1675842744,0,401311,3.00,2.00,0.00,0.00,5.00,3,nginx
1675842745,0,401305,1.00,0.00,0.00,0.00,1.00,5,nginx
1675842745,0,401308,5.00,2.00,0.00,0.00,7.00,1,nginx
1675842746,0,401305,7.00,4.00,0.00,0.00,11.00,7,nginx
1675842746,0,401308,0.00,1.00,0.00,0.00,1.00,1,nginx
1675842746,0,401309,3.00,1.00,0.00,0.00,4.00,0,nginx
1675842747,0,401305,3.00,2.00,0.00,0.00,5.00,7,nginx
1675842747,0,401306,1.00,0.00,0.00,0.00,1.00,4,nginx
1675842747,0,401309,5.00,3.00,0.00,0.00,8.00,0,nginx
1675842748,0,401304,3.00,0.00,0.00,0.00,3.00,6,nginx
1675842748,0,401306,7.00,1.00,0.00,0.00,8.00,4,nginx
1675842748,0,401307,3.00,0.00,0.00,0.00,3.00,5,nginx
1675842748,0,401308,1.00,0.00,0.00,0.00,1.00,1,nginx
1675842748,0,401309,2.00,4.00,0.00,0.00,6.00,0,nginx
1675842748,0,401310,1.00,0.00,0.00,0.00,1.00,2,nginx
1675842748,0,401311,1.00,1.00,0.00,0.00,2.00,3,nginx
1675842749,0,401304,3.00,2.00,0.00,0.00,5.00,6,nginx
1675842749,0,401305,1.00,0.00,0.00,0.00,1.00,7,nginx
1675842749,0,401306,4.00,5.00,0.00,0.00,9.00,4,nginx
1675842749,0,401307,3.00,2.00,0.00,0.00,5.00,5,nginx
1675842749,0,401308,1.00,2.00,0.00,0.00,3.00,1,nginx
1675842749,0,401309,1.00,0.00,0.00,0.00,1.00,0,nginx
1675842749,0,401310,2.00,1.00,0.00,0.00,3.00,2,nginx
1675842749,0,401311,0.00,1.00,0.00,0.00,1.00,2,nginx
1675842750,0,401304,5.00,1.00,0.00,0.00,6.00,6,nginx
1675842750,0,401306,0.00,1.00,0.00,0.00,1.00,4,nginx
1675842750,0,401307,1.00,0.00,0.00,0.00,1.00,5,nginx
1675842751,0,401304,2.00,1.00,0.00,0.00,3.00,6,nginx
1675842751,0,401307,6.00,3.00,0.00,0.00,9.00,5,nginx
1675842751,0,401310,1.00,1.00,0.00,0.00,2.00,3,nginx
1675842751,0,401311,6.00,1.00,0.00,0.00,7.00,2,nginx
1675842752,0,401305,1.00,1.00,0.00,0.00,2.00,7,nginx
1675842752,0,401306,1.00,0.00,0.00,0.00,1.00,4,nginx
1675842752,0,401308,1.00,2.00,0.00,0.00,3.00,1,nginx
1675842752,0,401310,7.00,2.00,0.00,0.00,9.00,3,nginx
1675842752,0,401311,4.00,4.00,0.00,0.00,8.00,2,nginx
1675842753,0,401304,1.00,0.00,0.00,0.00,1.00,6,nginx
1675842753,0,401305,3.00,1.00,0.00,0.00,4.00,6,nginx
1675842753,0,401307,1.00,0.00,0.00,0.00,1.00,5,nginx
1675842753,0,401308,5.00,1.00,0.00,0.00,6.00,1,nginx
1675842753,0,401309,1.00,0.00,0.00,0.00,1.00,0,nginx
1675842753,0,401310,2.00,1.00,0.00,0.00,3.00,3,nginx
1675842754,0,401305,6.93,2.97,0.00,0.00,9.90,6,nginx
1675842754,0,401308,0.99,2.97,0.00,0.00,3.96,1,nginx
1675842754,0,401309,0.99,0.00,0.00,0.00,0.99,0,nginx
1675842755,0,401306,1.00,1.00,0.00,0.00,2.00,4,nginx
1675842755,0,401309,8.00,3.00,0.00,0.00,11.00,0,nginx
1675842756,0,401304,6.00,1.00,0.00,0.00,7.00,7,nginx
1675842756,0,401306,10.00,3.00,0.00,0.00,13.00,4,nginx
1675842756,0,401307,1.00,1.00,0.00,0.00,2.00,5,nginx
1675842756,0,401309,3.00,0.00,0.00,0.00,3.00,0,nginx
1675842757,0,401304,4.00,4.00,0.00,0.00,8.00,7,nginx
1675842757,0,401306,0.00,1.00,0.00,0.00,1.00,4,nginx
1675842757,0,401307,2.00,0.00,0.00,0.00,2.00,5,nginx
1675842758,0,401304,0.00,1.00,0.00,0.00,1.00,7,nginx
1675842758,0,401307,8.00,3.00,0.00,0.00,11.00,6,nginx
1675842758,0,401311,1.00,0.00,0.00,0.00,1.00,2,nginx
1675842759,0,401305,2.00,1.00,0.00,0.00,3.00,0,nginx
1675842759,0,401307,1.00,0.00,0.00,0.00,1.00,6,nginx
1675842759,0,401308,3.00,1.00,0.00,0.00,4.00,1,nginx
1675842759,0,401310,5.00,1.00,0.00,0.00,6.00,3,nginx
1675842759,0,401311,10.00,5.00,0.00,0.00,15.00,2,nginx
1675842760,0,401310,7.00,3.00,0.00,0.00,10.00,2,nginx
1675842760,0,401311,1.00,2.00,0.00,0.00,3.00,2,nginx
1675842761,0,401305,2.00,0.00,0.00,0.00,2.00,0,nginx
1675842761,0,401308,4.00,5.00,0.00,0.00,9.00,1,nginx
1675842761,0,401310,2.00,1.00,0.00,0.00,3.00,2,nginx
1675842762,0,401305,4.00,1.00,0.00,0.00,5.00,0,nginx
1675842762,0,401308,3.00,1.00,0.00,0.00,4.00,1,nginx
1675842763,0,401304,1.00,0.00,0.00,0.00,1.00,5,nginx
1675842763,0,401305,5.00,2.00,0.00,0.00,7.00,0,nginx
1675842763,0,401306,4.00,1.00,0.00,0.00,5.00,4,nginx
1675842763,0,401309,9.00,4.00,0.00,0.00,13.00,7,nginx
1675842764,0,401304,2.00,2.00,0.00,0.00,4.00,5,nginx
1675842764,0,401306,5.00,2.00,0.00,0.00,7.00,4,nginx
1675842764,0,401309,1.00,2.00,0.00,0.00,3.00,7,nginx
1675842765,0,401304,6.00,2.00,0.00,0.00,8.00,5,nginx
1675842765,0,401306,5.00,1.00,0.00,0.00,6.00,4,nginx
1675842766,0,401304,3.00,1.00,0.00,0.00,4.00,5,nginx
1675842766,0,401307,6.00,1.00,0.00,0.00,7.00,6,nginx
1675842766,0,401308,1.00,0.00,0.00,0.00,1.00,1,nginx
1675842766,0,401310,3.00,0.00,0.00,0.00,3.00,0,nginx
