Time,UID,PID,%usr,%system,%guest,%wait,%CPU,CPU,Command
1675660075,0,365291,7.00,6.00,0.00,0.00,13.00,6,nginx
1675660075,0,365292,6.00,7.00,0.00,0.00,13.00,6,nginx
1675660075,0,365293,6.00,6.00,0.00,0.00,12.00,3,nginx
1675660075,0,365294,8.00,6.00,0.00,0.00,14.00,0,nginx
1675660075,0,365295,7.00,7.00,0.00,0.00,14.00,4,nginx
1675660075,0,365296,5.00,4.00,0.00,0.00,9.00,7,nginx
1675660075,0,365297,8.00,6.00,0.00,0.00,14.00,2,nginx
1675660075,0,365298,7.00,7.00,0.00,0.00,14.00,1,nginx
1675660076,0,365291,2.00,12.00,0.00,1.00,14.00,5,nginx
1675660076,0,365292,6.00,4.00,0.00,0.00,10.00,4,nginx
1675660076,0,365293,4.00,9.00,0.00,1.00,13.00,0,nginx
1675660076,0,365294,3.00,9.00,0.00,1.00,12.00,6,nginx
1675660076,0,365295,5.00,6.00,0.00,0.00,11.00,2,nginx
1675660076,0,365296,3.00,6.00,0.00,0.00,9.00,7,nginx
1675660076,0,365297,5.00,8.00,0.00,1.00,13.00,1,nginx
1675660076,0,365298,5.00,10.00,0.00,1.00,15.00,3,nginx
1675660077,0,365291,1.00,0.00,0.00,0.00,1.00,5,nginx
1675660077,0,365292,3.00,5.00,0.00,0.00,8.00,5,nginx
1675660077,0,365294,0.00,1.00,0.00,0.00,1.00,1,nginx
1675660077,0,365295,0.00,1.00,0.00,0.00,1.00,2,nginx
1675660077,0,365296,1.00,0.00,0.00,0.00,1.00,7,nginx
1675660077,0,365297,3.00,7.00,0.00,0.00,10.00,6,nginx
1675660077,0,365298,0.00,1.00,0.00,0.00,1.00,3,nginx
1675660078,0,365292,3.00,9.00,0.00,0.00,12.00,4,nginx
1675660078,0,365293,1.00,0.00,0.00,0.00,1.00,0,nginx
1675660078,0,365294,10.00,11.00,0.00,0.00,21.00,1,nginx
1675660078,0,365296,4.00,6.00,0.00,0.00,10.00,2,nginx
1675660078,0,365297,1.00,1.00,0.00,0.00,2.00,6,nginx
1675660079,0,365291,1.00,0.00,0.00,0.00,1.00,5,nginx
1675660079,0,365293,6.00,10.00,0.00,0.00,16.00,0,nginx
1675660079,0,365294,1.00,0.00,0.00,0.00,1.00,1,nginx
1675660079,0,365296,5.00,6.00,0.00,0.00,11.00,6,nginx
1675660079,0,365298,2.00,1.00,0.00,0.00,3.00,2,nginx
1675660080,0,365291,6.00,7.00,0.00,0.00,13.00,5,nginx
1675660080,0,365293,2.00,2.00,0.00,0.00,4.00,0,nginx
1675660080,0,365295,2.00,2.00,0.00,0.00,4.00,3,nginx
1675660080,0,365298,6.00,9.00,0.00,0.00,15.00,2,nginx
1675660081,0,365291,3.00,2.00,0.00,0.00,5.00,4,nginx
1675660081,0,365292,1.00,2.00,0.00,0.00,3.00,4,nginx
1675660081,0,365294,0.00,1.00,0.00,0.00,1.00,1,nginx
1675660081,0,365295,9.00,11.00,0.00,0.00,20.00,2,nginx
1675660081,0,365297,3.00,5.00,0.00,0.00,8.00,7,nginx
1675660081,0,365298,0.00,2.00,0.00,0.00,2.00,5,nginx
1675660082,0,365292,5.00,3.00,0.00,0.00,8.00,4,nginx
1675660082,0,365294,0.00,1.00,0.00,0.00,1.00,0,nginx
1675660082,0,365297,8.00,11.00,0.00,0.00,19.00,5,nginx
