,../log-simple-client1-h2,../log-simple-client1-h3,../log-single-client1-h2,../log-single-client1-h3,../log-simple-reverse1-h2,../log-simple-reverse1-h3,../log-single-reverse1-h2,../log-single-reverse1-h3
0,41.0,41.0,1551,1443.0,39.0,35.0,1544.0,1437.0
1,39.0,42.0,1525,1434.0,40.0,36.0,1474.0,1433.0
2,40.0,41.0,1591,1438.0,36.0,39.0,1531.0,1437.0
3,40.0,42.0,1480,1431.0,39.0,41.0,1565.0,1437.0
4,36.0,40.0,1572,1436.0,40.0,39.0,1475.0,1437.0
5,39.0,42.0,1469,1436.0,40.0,42.0,1528.0,1439.0
6,40.0,36.0,1542,1436.0,39.0,41.0,1514.0,1439.0
7,37.0,42.0,1501,1434.0,38.0,42.0,1514.0,1438.0
8,40.0,39.0,1543,1437.0,41.0,38.0,1474.0,1435.0
9,39.0,41.0,1621,1437.0,40.0,41.0,1556.0,1438.0
10,40.0,40.0,1558,1440.0,41.0,42.0,1469.0,1438.0
11,39.0,40.0,1498,1433.0,38.0,41.0,1535.0,1438.0
12,40.0,41.0,1526,1435.0,40.0,39.0,1563.0,1436.0
13,40.0,41.0,1572,1436.0,41.0,37.0,1546.0,1438.0
14,40.0,39.0,1573,1440.0,40.0,41.0,1485.0,1440.0
15,41.0,41.0,1528,1437.0,39.0,42.0,1480.0,1439.0
16,40.0,39.0,1534,1438.0,34.0,40.0,1466.0,1437.0
17,38.0,40.0,1559,1433.0,38.0,40.0,1530.0,1437.0
18,39.0,42.0,1523,1438.0,33.0,35.0,1508.0,1434.0
19,38.0,39.0,1612,1436.0,33.0,42.0,1438.0,1435.0
20,41.0,42.0,1531,1434.0,39.0,42.0,1436.0,1435.0
21,39.0,43.0,1497,1432.0,37.0,40.0,1565.0,1439.0
22,40.0,41.0,1579,1439.0,34.0,35.0,1487.0,1432.0
23,39.0,41.0,1546,1437.0,41.0,41.0,1465.0,1443.0
24,34.0,41.0,1508,1437.0,39.0,39.0,1467.0,1442.0
25,39.0,35.0,1525,1433.0,40.0,41.0,1513.0,1431.0
26,38.0,38.0,1508,1436.0,39.0,41.0,1525.0,1440.0
27,37.0,41.0,1526,1438.0,40.0,42.0,1480.0,1433.0
28,39.0,42.0,1537,1435.0,41.0,42.0,1561.0,1438.0
29,39.0,41.0,1477,1436.0,39.0,41.0,1478.0,1437.0
30,39.0,40.0,1555,1430.0,37.0,39.0,1539.0,1435.0
31,40.0,42.0,1622,1438.0,40.0,42.0,1565.0,1439.0
32,36.0,42.0,1474,1436.0,37.0,41.0,1538.0,1436.0
33,38.0,42.0,1616,1439.0,38.0,42.0,1523.0,1436.0
34,36.0,40.0,1475,1437.0,40.0,37.0,1467.0,1435.0
35,39.0,36.0,1520,1435.0,39.0,40.0,1542.0,1436.0
36,39.0,35.0,1601,1435.0,40.0,41.0,1437.0,1436.0
37,35.0,41.0,1502,1437.0,38.0,41.0,1443.0,1437.0
38,40.0,38.0,1511,1436.0,41.0,40.0,1464.0,1434.0
39,39.0,36.0,1536,1439.0,38.0,41.0,1532.0,1437.0
40,40.0,40.0,1535,1436.0,40.0,39.0,1478.0,1438.0
41,40.0,38.0,1543,1434.0,38.0,36.0,1500.0,1435.0
42,36.0,37.0,1491,1432.0,38.0,41.0,1531.0,1432.0
43,39.0,36.0,1501,1436.0,35.0,40.0,1471.0,1435.0
44,40.0,41.0,1591,1434.0,40.0,42.0,1435.0,1440.0
45,40.0,38.0,1518,1435.0,38.0,39.0,1517.0,1437.0
46,41.0,40.0,1559,1431.0,40.0,34.0,1438.0,1432.0
47,37.0,37.0,1435,1434.0,38.0,42.0,1480.0,1436.0
48,40.0,36.0,1592,1437.0,40.0,37.0,1583.0,1428.0
49,39.0,42.0,1487,1438.0,35.0,36.0,1524.0,1437.0
50,39.0,40.0,1569,1436.0,39.0,40.0,1438.0,1435.0
51,39.0,36.0,1600,1434.0,41.0,41.0,1516.0,1438.0
52,40.0,40.0,1560,1440.0,40.0,36.0,1513.0,1436.0
53,39.0,35.0,1524,1434.0,35.0,40.0,1429.0,1435.0
54,40.0,41.0,1446,1439.0,39.0,36.0,1542.0,1434.0
55,39.0,35.0,1496,1436.0,36.0,38.0,1488.0,1436.0
56,39.0,41.0,1539,1436.0,39.0,42.0,1541.0,1437.0
57,37.0,40.0,1552,1434.0,39.0,40.0,1505.0,1434.0
58,40.0,36.0,1553,1436.0,39.0,41.0,1517.0,1434.0
59,40.0,39.0,1542,1436.0,39.0,41.0,1498.0,1438.0
60,40.0,40.0,1517,1428.0,38.0,40.0,1477.0,1432.0
61,38.0,38.0,1593,1436.0,33.0,40.0,1435.0,1437.0
62,38.0,38.0,1493,1439.0,39.0,41.0,1484.0,1434.0
63,41.0,40.0,1477,1438.0,39.0,34.0,1508.0,1437.0
64,39.0,39.0,1607,1439.0,39.0,41.0,1475.0,1433.0
65,37.0,39.0,1572,1437.0,39.0,41.0,1520.0,1438.0
66,40.0,37.0,1560,1435.0,40.0,39.0,1450.0,1438.0
67,40.0,42.0,1537,1436.0,38.0,38.0,1538.0,1434.0
68,41.0,41.0,1499,1434.0,39.0,43.0,1529.0,1439.0
69,39.0,42.0,1475,1434.0,40.0,37.0,1531.0,1432.0
70,41.0,40.0,1506,1434.0,40.0,35.0,1540.0,1438.0
71,39.0,41.0,1473,1436.0,38.0,41.0,1433.0,1436.0
72,39.0,39.0,1593,1440.0,39.0,37.0,1500.0,1439.0
73,39.0,40.0,1505,1439.0,39.0,38.0,1467.0,1439.0
74,40.0,36.0,1485,1437.0,40.0,35.0,1508.0,1436.0
75,41.0,42.0,1578,1442.0,41.0,40.0,1514.0,1436.0
76,34.0,38.0,1559,1437.0,37.0,43.0,1559.0,1437.0
77,39.0,41.0,1472,1439.0,35.0,40.0,1476.0,1441.0
78,39.0,43.0,1517,1435.0,38.0,40.0,1502.0,1436.0
79,38.0,39.0,1541,1436.0,34.0,42.0,1576.0,1441.0
80,39.0,41.0,1507,1435.0,39.0,41.0,1538.0,1436.0
81,37.0,41.0,1571,1437.0,41.0,41.0,1543.0,1434.0
82,40.0,36.0,1446,1440.0,37.0,39.0,1471.0,1430.0
83,40.0,41.0,1588,1436.0,40.0,35.0,1462.0,1437.0
84,40.0,42.0,1521,1435.0,39.0,40.0,1481.0,1433.0
85,39.0,40.0,1499,1438.0,36.0,40.0,1505.0,1438.0
86,38.0,42.0,1529,1439.0,39.0,42.0,1485.0,1431.0
87,41.0,39.0,1542,1433.0,34.0,41.0,1514.0,1435.0
88,39.0,38.0,1436,1436.0,39.0,41.0,1509.0,1433.0
89,39.0,40.0,1491,1435.0,39.0,41.0,1512.0,1440.0
90,39.0,40.0,1548,1439.0,39.0,42.0,1508.0,1434.0
91,40.0,38.0,1469,1437.0,39.0,38.0,1536.0,1431.0
92,35.0,39.0,1519,1437.0,39.0,40.0,1483.0,1440.0
93,37.0,36.0,1527,1434.0,38.0,41.0,1506.0,1434.0
94,40.0,39.0,1520,1437.0,39.0,40.0,1437.0,1438.0
95,38.0,42.0,1485,1439.0,40.0,42.0,1438.0,1438.0
96,38.0,36.0,1549,1435.0,39.0,41.0,1492.0,1428.0
97,34.0,41.0,1505,1439.0,40.0,40.0,1549.0,1438.0
98,38.0,37.0,1498,1437.0,40.0,43.0,1468.0,1437.0
99,39.0,40.0,1620,1436.0,39.0,42.0,1505.0,1436.0
100,39.0,42.0,1569,1439.0,37.0,39.0,1437.0,1431.0
101,40.0,41.0,1517,1437.0,33.0,39.0,1476.0,1436.0
102,38.0,41.0,1570,1435.0,42.0,41.0,1504.0,1437.0
103,40.0,37.0,1523,1435.0,38.0,40.0,1479.0,1436.0
104,40.0,42.0,1508,1439.0,41.0,42.0,1501.0,1436.0
105,38.0,41.0,1505,1435.0,39.0,38.0,1429.0,1437.0
106,40.0,39.0,1594,1435.0,39.0,35.0,1511.0,1441.0
107,36.0,42.0,1540,1439.0,40.0,38.0,1529.0,1437.0
108,38.0,41.0,1570,1437.0,40.0,41.0,1477.0,1430.0
109,40.0,41.0,1521,1435.0,40.0,42.0,1483.0,1440.0
110,40.0,41.0,1562,1435.0,37.0,41.0,1504.0,1436.0
111,35.0,40.0,1515,1440.0,39.0,40.0,1480.0,1436.0
112,36.0,41.0,1525,1437.0,40.0,39.0,1446.0,1434.0
113,40.0,42.0,1487,1436.0,40.0,40.0,1438.0,1437.0
114,40.0,42.0,1600,1436.0,38.0,42.0,1479.0,1435.0
115,35.0,40.0,1592,1438.0,38.0,40.0,1556.0,1440.0
116,39.0,35.0,1589,1439.0,40.0,34.0,1436.0,1431.0
117,39.0,42.0,1552,1432.0,40.0,41.0,1475.0,1440.0
118,35.0,40.0,1484,1437.0,40.0,38.0,1478.0,1432.0
119,40.0,41.0,1541,1436.0,39.0,42.0,1432.0,1437.0
120,40.0,39.0,1562,1431.0,38.0,39.0,1468.0,1438.0
121,34.0,41.0,1520,1435.0,40.0,39.0,1520.0,1436.0
122,36.0,38.0,1437,1432.0,35.0,39.0,1477.0,1436.0
123,39.0,41.0,1444,1432.0,38.0,41.0,1474.0,1437.0
124,38.0,40.0,1560,1435.0,40.0,41.0,1446.0,1435.0
125,40.0,42.0,1603,1437.0,39.0,40.0,1583.0,1439.0
126,39.0,36.0,1593,1436.0,40.0,39.0,1511.0,1438.0
127,34.0,40.0,1537,1438.0,40.0,39.0,1524.0,1432.0
128,39.0,35.0,1561,1438.0,40.0,40.0,1541.0,1436.0
129,41.0,39.0,1549,1434.0,40.0,38.0,1477.0,1431.0
130,39.0,40.0,1519,1438.0,40.0,40.0,1534.0,1432.0
131,41.0,42.0,1556,1440.0,38.0,40.0,1509.0,1435.0
132,35.0,38.0,1521,1436.0,40.0,40.0,1504.0,1438.0
133,35.0,39.0,1503,1437.0,39.0,39.0,1494.0,1432.0
134,36.0,41.0,1478,1433.0,40.0,41.0,1487.0,1437.0
135,38.0,40.0,1558,1439.0,40.0,41.0,1553.0,1439.0
136,39.0,40.0,1594,1436.0,38.0,41.0,1488.0,1439.0
137,37.0,38.0,1551,1439.0,39.0,39.0,1528.0,1436.0
138,40.0,36.0,1459,1435.0,39.0,39.0,1541.0,1432.0
139,34.0,40.0,1499,1439.0,40.0,39.0,1584.0,1435.0
140,39.0,42.0,1551,1436.0,37.0,40.0,1439.0,1437.0
141,38.0,39.0,1534,1443.0,37.0,43.0,1583.0,1435.0
142,41.0,40.0,1520,1434.0,39.0,34.0,1446.0,1440.0
143,40.0,39.0,1593,1436.0,40.0,41.0,1562.0,1432.0
144,37.0,35.0,1583,1435.0,35.0,40.0,1526.0,1437.0
145,40.0,36.0,1456,1439.0,39.0,41.0,1522.0,1440.0
146,33.0,38.0,1510,1435.0,36.0,39.0,1471.0,1439.0
147,38.0,41.0,1486,1438.0,40.0,39.0,1510.0,1437.0
148,39.0,41.0,1537,1433.0,39.0,41.0,1533.0,1436.0
149,39.0,40.0,1499,1437.0,40.0,38.0,1469.0,1435.0
150,38.0,40.0,1552,1438.0,37.0,40.0,1495.0,1431.0
151,39.0,42.0,1530,1435.0,40.0,40.0,1481.0,1436.0
152,35.0,37.0,1529,1434.0,39.0,42.0,1484.0,1435.0
153,40.0,40.0,1525,1434.0,40.0,38.0,1468.0,1437.0
154,41.0,39.0,1455,1432.0,40.0,40.0,1524.0,1437.0
155,38.0,38.0,1538,1437.0,36.0,39.0,1537.0,1438.0
156,41.0,39.0,1530,1433.0,39.0,35.0,1522.0,1436.0
157,41.0,38.0,1496,1431.0,40.0,35.0,1529.0,1435.0
158,35.0,41.0,1568,1437.0,40.0,41.0,1492.0,1437.0
159,35.0,41.0,1632,1431.0,38.0,40.0,1530.0,1433.0
160,36.0,40.0,1549,1437.0,38.0,35.0,1439.0,1434.0
161,38.0,40.0,1559,1439.0,38.0,39.0,1565.0,1435.0
162,34.0,40.0,1574,1440.0,33.0,38.0,1586.0,1438.0
163,37.0,38.0,1501,1434.0,39.0,40.0,1544.0,1431.0
164,40.0,41.0,1579,1437.0,37.0,40.0,1510.0,1436.0
165,40.0,42.0,1520,1437.0,40.0,39.0,1528.0,1438.0
166,40.0,39.0,1534,1432.0,39.0,41.0,1480.0,1436.0
167,38.0,39.0,1448,1435.0,38.0,42.0,1480.0,1437.0
168,38.0,42.0,1438,1436.0,40.0,41.0,1431.0,1439.0
169,41.0,41.0,1492,1432.0,39.0,34.0,1467.0,1440.0
170,40.0,41.0,1529,1433.0,38.0,40.0,1580.0,1437.0
171,39.0,37.0,1457,1437.0,38.0,40.0,1525.0,1437.0
172,37.0,41.0,1605,1430.0,36.0,40.0,1570.0,1434.0
173,38.0,41.0,1473,1437.0,41.0,39.0,1572.0,1431.0
174,38.0,41.0,1500,1433.0,37.0,35.0,1510.0,1431.0
175,40.0,41.0,1587,1436.0,40.0,36.0,1525.0,1436.0
176,39.0,40.0,1568,1438.0,40.0,35.0,1509.0,1437.0
177,38.0,39.0,1557,1439.0,38.0,42.0,1530.0,1440.0
178,39.0,39.0,1521,1437.0,39.0,41.0,1471.0,1438.0
179,39.0,38.0,1493,1433.0,39.0,40.0,1517.0,1438.0
180,39.0,40.0,1537,1438.0,36.0,40.0,1508.0,1437.0
181,38.0,43.0,1495,1440.0,36.0,42.0,1554.0,1436.0
182,41.0,39.0,1506,1437.0,36.0,42.0,1522.0,1436.0
183,38.0,43.0,1588,1439.0,38.0,40.0,1514.0,1436.0
184,39.0,43.0,1550,1436.0,36.0,41.0,1539.0,1436.0
185,38.0,37.0,1450,1430.0,35.0,41.0,1592.0,1433.0
186,38.0,43.0,1573,1439.0,38.0,40.0,1468.0,1439.0
187,39.0,40.0,1540,1433.0,36.0,40.0,1479.0,1436.0
188,35.0,40.0,1546,1437.0,35.0,40.0,1504.0,1437.0
189,37.0,42.0,1528,1435.0,39.0,40.0,1435.0,1437.0
190,35.0,41.0,1521,1437.0,40.0,39.0,1478.0,1439.0
191,38.0,41.0,1546,1439.0,39.0,40.0,1489.0,1437.0
192,38.0,41.0,1509,1441.0,39.0,39.0,1508.0,1440.0
193,41.0,38.0,1587,1435.0,38.0,41.0,1535.0,1433.0
194,39.0,41.0,1494,1438.0,39.0,41.0,1478.0,1429.0
195,41.0,40.0,1574,1434.0,39.0,38.0,1436.0,1436.0
196,40.0,41.0,1593,1439.0,39.0,40.0,1513.0,1432.0
197,40.0,41.0,1532,1435.0,38.0,40.0,1430.0,1437.0
198,40.0,42.0,1437,1436.0,37.0,43.0,1448.0,1437.0
199,39.0,42.0,1542,1434.0,36.0,40.0,1500.0,1438.0
200,38.0,36.0,1586,1433.0,39.0,39.0,1555.0,1434.0
201,39.0,41.0,1484,1436.0,39.0,40.0,1464.0,1435.0
202,39.0,43.0,1626,1432.0,38.0,42.0,1472.0,1440.0
203,39.0,40.0,1569,1433.0,38.0,38.0,1534.0,1438.0
204,40.0,40.0,1443,1436.0,39.0,38.0,1475.0,1441.0
205,38.0,42.0,1526,1437.0,38.0,40.0,1479.0,1437.0
206,39.0,40.0,1497,1432.0,36.0,37.0,1476.0,1430.0
207,39.0,37.0,1461,1438.0,41.0,36.0,1464.0,1438.0
208,39.0,41.0,1507,1435.0,38.0,41.0,1562.0,1436.0
209,35.0,38.0,1577,1433.0,39.0,42.0,1503.0,1436.0
210,33.0,40.0,1474,1440.0,40.0,37.0,1453.0,1436.0
211,39.0,40.0,1548,1433.0,37.0,41.0,1491.0,1439.0
212,39.0,43.0,1520,1440.0,40.0,41.0,1473.0,1438.0
213,39.0,42.0,1558,1439.0,40.0,42.0,1521.0,1428.0
214,40.0,39.0,1582,1436.0,39.0,42.0,1468.0,1436.0
215,37.0,41.0,1511,1438.0,39.0,40.0,1504.0,1436.0
216,41.0,41.0,1602,1435.0,34.0,39.0,1519.0,1437.0
217,40.0,40.0,1567,1438.0,39.0,42.0,1471.0,1434.0
218,41.0,42.0,1548,1437.0,39.0,39.0,1475.0,1436.0
219,40.0,41.0,1518,1435.0,39.0,41.0,1522.0,1437.0
220,39.0,41.0,1507,1436.0,38.0,39.0,1482.0,1442.0
221,38.0,38.0,1548,1435.0,37.0,41.0,1512.0,1437.0
222,39.0,37.0,1543,1438.0,39.0,41.0,1486.0,1432.0
223,39.0,41.0,1593,1436.0,39.0,38.0,1472.0,1430.0
224,39.0,40.0,1600,1435.0,39.0,41.0,1553.0,1435.0
225,39.0,41.0,1548,1440.0,41.0,41.0,1504.0,1436.0
226,41.0,40.0,1514,1438.0,39.0,41.0,1571.0,1437.0
227,38.0,41.0,1572,1431.0,40.0,40.0,1518.0,1430.0
228,38.0,42.0,1517,1440.0,38.0,40.0,1485.0,1437.0
229,35.0,41.0,1590,1437.0,37.0,40.0,1510.0,1437.0
230,39.0,41.0,1469,1432.0,36.0,41.0,1482.0,1438.0
231,38.0,41.0,1547,1436.0,39.0,41.0,1511.0,1437.0
232,38.0,41.0,1447,1432.0,39.0,39.0,1523.0,1440.0
233,40.0,37.0,1534,1430.0,36.0,41.0,1486.0,1431.0
234,38.0,42.0,1515,1433.0,40.0,40.0,1474.0,1435.0
235,39.0,42.0,1549,1438.0,34.0,40.0,1490.0,1438.0
236,39.0,41.0,1596,1436.0,34.0,40.0,1428.0,1438.0
237,35.0,40.0,1542,1438.0,39.0,39.0,1476.0,1435.0
238,39.0,37.0,1627,1434.0,41.0,39.0,1432.0,1439.0
239,34.0,41.0,1487,1438.0,39.0,37.0,1455.0,1436.0
240,40.0,40.0,1544,1438.0,39.0,40.0,1442.0,1431.0
241,39.0,40.0,1520,1436.0,38.0,36.0,1476.0,1437.0
242,40.0,41.0,1528,1435.0,39.0,40.0,1510.0,1436.0
243,41.0,40.0,1526,1440.0,35.0,43.0,1453.0,1438.0
244,37.0,41.0,1496,1442.0,42.0,40.0,1508.0,1440.0
245,38.0,40.0,1526,1436.0,37.0,41.0,1451.0,1434.0
246,38.0,39.0,1508,1438.0,40.0,42.0,1508.0,1436.0
247,37.0,41.0,1600,1434.0,39.0,40.0,1477.0,1435.0
248,39.0,43.0,1448,1438.0,35.0,41.0,1532.0,1435.0
249,38.0,41.0,1470,1437.0,38.0,40.0,1541.0,1438.0
250,39.0,41.0,1503,1428.0,39.0,40.0,1514.0,1434.0
251,38.0,39.0,1567,1430.0,40.0,43.0,1460.0,1439.0
252,40.0,40.0,1464,1435.0,40.0,41.0,1553.0,1436.0
253,36.0,41.0,1536,1440.0,34.0,39.0,1530.0,1440.0
254,39.0,42.0,1511,1434.0,34.0,41.0,1467.0,1436.0
255,39.0,37.0,1506,1438.0,39.0,41.0,1510.0,1436.0
256,40.0,42.0,1570,1437.0,38.0,41.0,1505.0,1433.0
257,39.0,41.0,1595,1435.0,35.0,38.0,1478.0,1429.0
258,38.0,39.0,1592,1439.0,40.0,42.0,1444.0,1437.0
259,34.0,39.0,1550,1433.0,35.0,37.0,1542.0,1436.0
260,39.0,44.0,1566,1437.0,39.0,42.0,1503.0,1437.0
261,38.0,40.0,1604,1432.0,38.0,39.0,1448.0,1439.0
262,38.0,39.0,1493,1435.0,42.0,41.0,1533.0,1439.0
263,36.0,41.0,1572,1438.0,38.0,42.0,1535.0,1438.0
264,39.0,40.0,1484,1440.0,38.0,35.0,1532.0,1430.0
265,39.0,41.0,1546,1429.0,39.0,41.0,1469.0,1428.0
266,41.0,39.0,1488,1433.0,40.0,41.0,1466.0,1435.0
267,40.0,41.0,1494,1432.0,40.0,42.0,1476.0,1437.0
268,40.0,43.0,1595,1438.0,38.0,40.0,1524.0,1435.0
269,36.0,41.0,1605,1442.0,39.0,41.0,1452.0,1437.0
270,34.0,37.0,1525,1438.0,39.0,40.0,1475.0,1441.0
271,41.0,38.0,1531,1436.0,39.0,41.0,1478.0,1439.0
272,39.0,41.0,1532,1436.0,40.0,40.0,1550.0,1440.0
273,37.0,41.0,1490,1440.0,40.0,38.0,1524.0,1433.0
274,40.0,39.0,1538,1429.0,39.0,39.0,1489.0,1431.0
275,37.0,39.0,1567,1438.0,38.0,41.0,1475.0,1432.0
276,40.0,41.0,1527,1437.0,34.0,42.0,1509.0,1438.0
277,36.0,40.0,1520,1438.0,34.0,42.0,1510.0,1436.0
278,40.0,40.0,1561,1435.0,34.0,37.0,1508.0,1437.0
279,37.0,40.0,1473,1435.0,40.0,36.0,1473.0,1436.0
280,39.0,41.0,1500,1439.0,33.0,39.0,1438.0,1433.0
281,40.0,38.0,1483,1438.0,36.0,39.0,1564.0,1435.0
282,38.0,40.0,1563,1439.0,39.0,43.0,1489.0,1439.0
283,38.0,41.0,1625,1436.0,37.0,40.0,1556.0,1437.0
284,40.0,41.0,1560,1432.0,34.0,36.0,1438.0,1439.0
285,37.0,41.0,1456,1430.0,39.0,42.0,1513.0,1439.0
286,40.0,41.0,1454,1437.0,38.0,37.0,1477.0,1437.0
287,34.0,36.0,1501,1438.0,39.0,41.0,1542.0,1438.0
288,36.0,40.0,1519,1437.0,39.0,42.0,1495.0,1437.0
289,40.0,41.0,1551,1437.0,41.0,43.0,1492.0,1436.0
290,40.0,41.0,1625,1439.0,40.0,40.0,1455.0,1436.0
291,40.0,42.0,1457,1433.0,40.0,40.0,1556.0,1439.0
292,39.0,40.0,1461,1439.0,39.0,41.0,1461.0,1436.0
293,38.0,41.0,1601,1439.0,41.0,41.0,1509.0,1435.0
294,40.0,42.0,1582,1438.0,40.0,42.0,1475.0,1434.0
295,38.0,37.0,1475,1437.0,37.0,41.0,1504.0,1438.0
296,40.0,40.0,1499,1435.0,40.0,35.0,1514.0,1437.0
