"HTTP/2
/simple.html","HTTP/3
/simple.html"
34.0,36.0
34.0,36.0
32.0,38.0
34.0,39.0
34.0,37.0
35.0,37.0
37.0,36.0
33.0,38.0
30.0,35.0
34.0,38.0
37.0,35.0
32.0,37.0
36.0,40.0
34.0,36.0
34.0,36.0
33.0,35.0
35.0,35.0
35.0,41.0
37.0,37.0
30.0,37.0
36.0,39.0
33.0,35.0
33.0,37.0
38.0,33.0
30.0,41.0
41.0,35.0
34.0,39.0
36.0,36.0
34.0,39.0
33.0,37.0
37.0,37.0
33.0,41.0
35.0,37.0
36.0,36.0
36.0,39.0
35.0,39.0
34.0,35.0
32.0,37.0
36.0,37.0
38.0,39.0
31.0,34.0
37.0,38.0
36.0,38.0
35.0,42.0
31.0,36.0
37.0,35.0
31.0,33.0
37.0,45.0
34.0,32.0
35.0,40.0
35.0,40.0
30.0,37.0
35.0,40.0
37.0,38.0
32.0,38.0
39.0,36.0
32.0,37.0
32.0,41.0
40.0,34.0
38.0,36.0
25.0,39.0
44.0,37.0
30.0,38.0
34.0,40.0
35.0,34.0
35.0,37.0
40.0,33.0
32.0,47.0
32.0,31.0
33.0,42.0
35.0,41.0
33.0,33.0
35.0,43.0
28.0,34.0
37.0,34.0
38.0,41.0
33.0,35.0
35.0,39.0
37.0,41.0
32.0,36.0
33.0,36.0
36.0,38.0
35.0,38.0
35.0,39.0
31.0,34.0
34.0,37.0
33.0,39.0
38.0,34.0
36.0,35.0
32.0,41.0
34.0,38.0
32.0,38.0
34.0,36.0
35.0,37.0
36.0,35.0
33.0,39.0
38.0,37.0
34.0,37.0
33.0,36.0
35.0,38.0
34.0,35.0
36.0,38.0
32.0,41.58
31.0,35.0
34.0,40.0
34.0,33.0
36.0,40.0
36.0,35.0
32.0,40.0
31.0,35.0
34.0,38.0
35.0,38.0
35.0,34.0
33.0,37.0
31.0,33.0
36.0,45.0
33.0,37.0
38.0,36.0
35.0,36.0
31.0,34.0
37.0,37.0
35.0,41.0
32.0,36.0
35.0,39.0
34.0,37.0
40.0,40.0
33.0,31.0
33.0,42.0
35.0,34.0
35.0,39.0
34.0,37.0
37.0,37.0
33.0,36.0
36.0,39.0
34.0,38.0
38.0,37.0
31.0,39.0
35.0,34.0
35.0,37.0
29.0,42.0
37.0,35.0
33.0,39.0
34.0,37.0
34.0,37.0
33.0,40.0
35.0,36.0
32.0,36.0
34.0,36.0
33.0,41.0
38.0,35.0
36.63,36.0
33.0,39.0
38.0,35.0
32.0,37.0
35.0,40.0
35.0,38.0
31.0,36.0
40.0,38.0
30.0,36.0
34.0,34.0
37.0,39.0
29.0,36.0
35.0,38.0
36.0,37.0
33.0,33.0
37.0,41.0
35.0,37.0
34.0,36.0
32.0,40.0
37.0,37.0
35.0,40.0
33.0,34.0
32.0,39.0
32.0,34.0
36.0,40.0
36.0,40.0
33.0,32.0
34.0,36.0
34.0,38.0
32.0,39.0
36.0,36.0
31.0,41.0
38.0,32.0
34.0,40.0
32.0,40.0
33.0,35.0
33.0,37.0
36.0,38.0
35.0,36.0
34.0,37.0
36.0,38.0
32.0,41.0
34.0,32.0
34.0,38.0
33.0,41.0
33.0,35.0
35.0,35.0
38.0,38.0
37.0,39.0
34.0,33.0
33.0,38.0
33.0,38.0
36.0,36.0
33.0,35.0
32.0,39.0
36.0,39.0
31.0,36.0
35.0,37.0
32.0,43.0
32.0,33.0
36.0,37.0
32.0,39.0
34.0,38.0
34.0,39.0
33.0,35.0
35.0,38.0
31.0,37.0
37.0,41.0
34.0,34.0
31.0,36.0
36.0,39.0
34.0,38.0
31.0,36.0
36.0,35.0
35.0,33.0
35.0,43.0
30.0,42.0
40.0,37.0
33.0,38.0
32.0,37.0
36.0,36.0
31.0,38.0
38.0,36.0
33.0,40.0
33.0,30.0
36.0,53.0
36.0,32.0
30.0,33.0
36.0,43.0
38.0,37.0
34.0,34.0
30.0,36.0
38.0,36.0
28.0,42.0
36.0,34.0
34.0,39.0
34.0,35.0
32.0,34.0
34.0,42.0
35.0,34.0
33.0,35.0
34.0,39.0
36.0,36.0
32.0,38.0
36.0,36.0
30.0,38.0
37.0,39.0
30.0,38.0
33.0,35.0
34.0,42.0
33.0,35.0
32.0,36.0
36.0,37.0
32.0,43.0
31.0,35.0
34.0,38.0
37.0,40.0
34.0,36.0
31.0,36.0
34.0,37.0
35.0,44.0
37.0,31.0
37.0,35.0
34.0,48.510000000000005
33.0,33.0
32.0,54.0
36.0,32.0
35.0,33.0
34.0,37.0
33.0,40.0
33.0,38.0
34.0,37.0
34.0,35.0
33.0,36.0
34.0,41.0
36.0,37.0
